time,close,high,low,open,volumefrom,volumeto
1515702000,1155.56,1158.48,1155.56,1158.41,547.84,635536.89
1515702060,1152.48,1155.76,1151.84,1155.56,1686.4,1940000.12
1515702120,1149.91,1152.48,1149.91,1152.48,1036.21,1191753.35
1515702180,1150.44,1150.79,1148,1149.91,1124.21,1291207.61
1515702240,1160.36,1160.74,1150.44,1150.44,1595.88,1852678.87
1515702300,1170.24,1170.58,1160.21,1160.4,950.75,1111740.92
1515702360,1172.33,1173.65,1170.22,1170.43,796.93,935614.45
1515702420,1172.83,1173.73,1169.61,1171.67,604.4,708616.11
1515702480,1173.32,1174.67,1172.67,1172.83,319.57,375461.71
1515702540,1173.21,1173.64,1171.96,1173.32,574.14,675142.87
1515702600,1173.79,1174.66,1173.21,1173.21,423.17,497056.27
1515702660,1177.21,1177.21,1173.69,1173.79,648.22,762229.61
1515702720,1176.95,1178.47,1176.41,1177.51,1154.91,1357198.91
1515702780,1181.01,1181.01,1176.95,1176.95,634.1,746657.57
1515702840,1183.04,1183.04,1180.02,1181.01,558.76,660217.7
1515702900,1188.82,1188.82,1183.04,1183.04,859.92,1021694.83
1515702960,1193.62,1193.8,1188.58,1188.82,662.99,789761.49
1515703020,1193.72,1194.35,1191.03,1193.72,1186.96,1427562
1515703080,1192.72,1195.47,1191.99,1193.34,463.45,553059.82
1515703140,1191.27,1193.36,1191.26,1192.72,986.93,1178192.26
1515703200,1188.16,1191.34,1188.16,1191.27,458.43,544614.8
1515703260,1186.59,1188,1186.18,1188,310.1,367796.27
1515703320,1189.77,1190.72,1186.3,1186.59,636.88,756797.83
1515703380,1192.56,1193.51,1190.43,1190.43,272.73,325642.78
1515703440,1194.01,1194.01,1191.84,1192.57,211.39,251900.2
1515703500,1191,1194.01,1190.93,1194.01,320.61,384374.88
1515703560,1189.87,1191.42,1189.87,1191.42,124.02,147604
1515703620,1185.08,1189.96,1185.08,1189.87,517.17,612716.73
1515703680,1180.81,1185.41,1180.66,1185.08,386.91,458212.18
1515703740,1183.48,1183.48,1180.28,1180.81,351.68,416019.37
1515703800,1185.38,1185.82,1183.23,1183.47,182.76,217021.37
1515703860,1185.97,1186.28,1184.88,1185.38,255.58,302279.49
1515703920,1182.62,1185.96,1181.99,1185.96,315.7,373515.17
1515703980,1182.89,1183.71,1181.99,1182.13,191.34,228366.65
1515704040,1181.75,1183.13,1180.67,1182.89,157.03,185597.21
1515704100,1182.43,1182.67,1181.75,1181.75,132.61,156772.75
1515704160,1184.7,1184.71,1182.17,1182.41,132.9,157157.76
1515704220,1185.18,1185.77,1184.45,1184.7,182.61,216969.56
1515704280,1185.23,1185.45,1185.1,1185.45,196.54,232961.18
1515704340,1184.88,1185.05,1184.88,1184.98,173.57,206949.63
1515704400,1183.25,1184.95,1183,1184.91,662.55,783552.08
1515704460,1180.07,1183.36,1179.47,1183.25,528.91,624107.73
1515704520,1178.92,1180.08,1178.81,1180.08,347.14,409557.4
1515704580,1178.06,1178.92,1177.98,1178.92,160.56,190158.86
1515704640,1176.35,1178.1,1175.91,1177.82,122.86,144469.06
1515704700,1173.94,1176.35,1173.15,1176.35,374.91,443338.01
1515704760,1173.03,1173.94,1172.51,1173.94,148.14,173584.24
1515704820,1172.32,1173.25,1172.15,1173.03,294.22,348858.51
1515704880,1172.55,1173.44,1172.28,1172.32,298.76,350614.68
1515704940,1173.1,1173.64,1172.43,1172.55,267.98,315578.81
1515705000,1175.41,1175.45,1172.93,1173.1,237.21,282718.41
1515705060,1175.61,1177.01,1175.3,1175.41,234.49,275438.08
1515705120,1175.24,1177.64,1175.02,1175.61,295.06,347264.98
1515705180,1174.7,1176.04,1174.49,1175.24,280.81,329302.16
1515705240,1175.4,1175.4,1174.05,1174.94,283.71,333166.12
1515705300,1174.93,1176.02,1174.77,1175.4,163.09,192516.62
1515705360,1174.85,1175.66,1174.37,1174.93,312.72,368721.94
1515705420,1171.6,1174.79,1171.53,1173.83,431.21,506315.67
1515705480,1166.69,1171.6,1166.17,1171.6,441.32,514841.67
